X Position_µm,Y Position_µm,MODULUS_GPa,HARDNESS_GPa,cluster
0,0,268.522,23.307,1
2,0,224.329,8.073,0
4,0,249.184,7.273,0
6,0,274.592,6.63,0
8,0,287.293,5.951,0
10,0,244.952,6.985,0
12,0,256.854,7.1,0
14,0,279.507,21.46,1
16,0,292.493,23.633,1
18,0,262.804,11.297,0
20,0,286.3,20.908,1
22,0,268.556,16.911,1
24,0,280.214,10.747,1
26,0,317.614,21.072,1
28,0,288.539,22.845,1
30,0,290.018,25.445,1
32,0,244.03,6.549,0
34,0,226.036,7.134,0
36,0,268.717,6.899,0
38,0,261.606,15.911,1
40,0,266.356,21.791,1
42,0,314.259,22.043,1
44,0,284.223,9.037,1
46,0,208.163,7.437,0
48,0,255.284,8.626,0
48,2,272.0,8.243,0
46,2,248.122,8.153,0
44,2,247.21,6.995,0
42,2,258.239,19.141,1
40,2,221.42,6.732,0
38,2,225.763,7.027,0
36,2,221.84,7.585,0
34,2,257.736,7.092,0
32,2,288.963,9.108,1
30,2,297.099,23.427,1
28,2,278.366,20.461,1
26,2,279.707,12.871,1
24,2,280.499,20.446,1
22,2,283.709,21.792,1
20,2,293.211,22.875,1
18,2,250.988,7.575,0
16,2,268.225,22.852,1
14,2,238.79,13.232,0
12,2,203.572,5.727,0
10,2,278.411,20.489,1
8,2,293.698,22.346,1
6,2,254.02,19.005,1
4,2,218.011,6.359,0
2,2,237.432,6.603,0
0,2,225.348,6.862,0
0,4,270.235,8.487,0
2,4,261.198,7.694,0
4,4,231.296,7.354,0
6,4,255.75,7.354,0
8,4,276.14,21.734,1
10,4,283.957,22.921,1
12,4,283.851,6.521,0
14,4,218.391,7.912,0
16,4,249.435,5.989,0
18,4,263.242,23.52,1
20,4,251.129,12.989,0
22,4,250.9,7.394,0
24,4,262.141,20.432,1
26,4,258.224,20.594,1
28,4,241.775,6.294,0
30,4,267.141,9.139,0
32,4,276.964,21.038,1
34,4,240.715,7.273,0
36,4,214.035,6.553,0
38,4,297.569,6.691,1
40,4,269.494,7.497,0
42,4,271.16,15.58,1
44,4,283.234,20.788,1
46,4,268.487,21.761,1
48,4,202.447,7.74,0
48,6,265.046,7.528,0
46,6,281.975,23.284,1
44,6,283.587,23.847,1
42,6,296.307,23.436,1
40,6,275.054,22.329,1
38,6,307.164,25.057,1
36,6,262.438,6.495,0
34,6,273.751,7.74,0
32,6,276.652,20.621,1
30,6,227.176,6.318,0
28,6,239.125,6.8,0
26,6,282.626,10.338,1
24,6,293.089,10.664,1
22,6,279.976,24.122,1
20,6,329.307,11.646,1
18,6,268.242,12.111,1
16,6,235.285,5.87,0
14,6,246.942,7.022,0
12,6,293.651,21.209,1
10,6,274.928,22.152,1
8,6,239.693,6.291,0
6,6,293.796,7.34,1
4,6,256.397,8.512,0
2,6,244.622,7.494,0
0,6,250.798,8.092,0
0,8,257.999,8.288,0
2,8,249.177,7.591,0
4,8,266.649,7.143,0
6,8,247.42,7.406,0
8,8,271.149,20.703,1
10,8,282.238,20.751,1
12,8,292.228,22.753,1
14,8,278.233,20.802,1
16,8,288.943,7.009,0
18,8,270.6,10.97,1
20,8,260.359,13.154,1
22,8,278.594,11.719,1
24,8,256.454,9.766,0
26,8,278.878,23.269,1
28,8,276.272,22.359,1
30,8,251.79,11.754,0
32,8,269.7,21.485,1
34,8,257.954,20.835,1
36,8,245.935,7.393,0
38,8,249.505,14.974,1
40,8,214.675,5.566,0
42,8,271.883,6.055,0
44,8,256.15,7.433,0
46,8,266.406,7.818,0
48,8,236.475,8.279,0
48,10,236.769,7.457,0
46,10,241.021,7.215,0
44,10,235.1,9.015,0
42,10,245.732,6.393,0
40,10,221.575,7.102,0
38,10,224.242,6.473,0
36,10,251.948,6.259,0
34,10,265.346,7.27,0
32,10,312.998,9.856,1
30,10,257.258,10.418,0
28,10,288.046,6.717,0
26,10,248.342,5.624,0
24,10,230.978,6.23,0
22,10,276.236,6.091,0
20,10,210.681,6.448,0
18,10,285.544,22.655,1
16,10,234.065,6.806,0
14,10,253.757,7.312,0
12,10,260.753,8.93,0
10,10,273.221,8.734,0
8,10,242.708,6.863,0
6,10,255.37,21.947,1
4,10,293.387,22.938,1
2,10,253.318,13.714,1
0,10,227.716,6.995,0
0,12,258.101,7.112,0
2,12,259.433,20.256,1
4,12,265.884,22.633,1
6,12,260.07,21.846,1
8,12,220.364,7.135,0
10,12,296.872,7.102,1
12,12,228.043,8.605,0
14,12,241.113,15.242,0
16,12,241.508,15.09,0
18,12,272.669,17.394,1
20,12,273.943,20.834,1
22,12,259.248,18.133,1
24,12,256.526,10.589,0
26,12,270.422,12.047,1
28,12,261.6,7.507,0
30,12,269.149,22.489,1
32,12,261.592,21.46,1
34,12,265.554,20.763,1
36,12,294.047,7.416,1
38,12,207.058,7.969,0
40,12,219.906,6.462,0
42,12,299.762,22.771,1
44,12,274.861,20.112,1
46,12,214.851,11.215,0
48,12,272.46,6.709,0
48,14,255.999,6.845,0
46,14,234.121,15.817,0
44,14,268.926,21.053,1
42,14,274.925,23.467,1
40,14,273.202,21.734,1
38,14,224.468,6.107,0
36,14,251.6,16.625,1
